"election","election_date","locality","precinct","Early Voting","Election Day","Mailed Absentee","Provisional","Post-Election","TotalVoteTurnout","ActiveRegisteredVoters","InactiveRegisteredVoters","TotalRegisteredVoters"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","320 - HERNDON #2","1468","1325","401","90","91","3375","4418","394","4812"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","321 - CLEARVIEW","1431","1377","466","49","97","3420","4082","292","4374"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","322 - FORESTVILLE","1393","863","377","46","98","2777","3421","247","3668"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","323 - SHOUSE","760","796","276","19","58","1909","2349","114","2463"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","324 - HERNDON #3","1235","1250","347","101","91","3024","4016","536","4552"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","325 - HUTCHISON","493","978","148","80","42","1741","2525","320","2845"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","327 - SUGARLAND","1398","1146","343","54","108","3049","3689","262","3951"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","328 - HICKORY","1668","713","392","42","90","2905","3542","261","3803"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","329 - SENECA","1318","1087","435","31","87","2958","3649","272","3921"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","331 - SPRING HILL","912","639","287","22","70","1930","2369","153","2522"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","332 - COATES","1460","2154","490","281","113","4498","6172","1031","7203"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","401 - BUSH HILL","1093","1271","405","88","66","2923","3611","292","3903"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","402 - CAMERON","284","522","123","20","20","969","1223","102","1325"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","403 - FORESTDALE","362","539","125","40","27","1093","1455","147","1602"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","404 - EDISON #1","641","547","246","44","42","1520","1904","199","2103"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","405 - GROVETON","496","711","183","70","31","1491","2107","396","2503"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","406 - HAYFIELD","733","947","310","39","43","2072","2424","194","2618"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","408 - MOUNT EAGLE","761","1015","294","135","86","2291","3035","422","3457"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","409 - PIONEER","865","1556","380","147","60","3008","4172","491","4663"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","410 - ROSE HILL","1383","1709","615","113","98","3918","4956","456","5412"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","411 - VIRGINIA HILLS","569","1081","214","46","42","1952","2502","222","2724"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","413 - FAIRFIELD","540","971","199","111","44","1865","2874","342","3216"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","415 - CRESTWOOD","515","1308","191","60","45","2119","2915","187","3102"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","417 - GARFIELD","884","1515","279","125","66","2869","4228","299","4527"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","418 - LYNBROOK #1","333","959","135","82","25","1534","2178","148","2326"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","419 - LANE","632","937","266","71","60","1966","2595","227","2822"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","420 - VILLAGES","1552","1530","623","93","99","3897","4806","559","5365"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","421 - KINGSTOWNE","1116","1117","436","95","82","2846","3659","504","4163"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","422 - VAN DORN","1180","1243","440","79","90","3032","3837","551","4388"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","423 - CLERMONT","771","1097","345","52","79","2344","2893","200","3093"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","424 - HUNTLEY","812","1068","290","48","67","2285","2741","253","2994"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","426 - GREENSPRING","252","940","382","22","26","1622","1783","111","1894"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","427 - ISLAND CREEK","754","1176","286","57","75","2348","2861","261","3122"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","428 - PINEWOOD","870","1061","267","113","30","2341","3520","370","3890"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","429 - HYBLA VALLEY","751","1301","224","127","40","2443","3827","533","4360"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","431 - WEST SPRINGFIELD","1116","1007","367","43","69","2602","3106","266","3372"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","432 - EDISON #2","1070","1071","441","96","62","2740","3532","414","3946"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","433 - LYNBROOK #2","25","79","8","2","6","120","188","10","198"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","501 - BAILEYS","1039","1248","339","109","68","2803","3822","403","4225"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","502 - BARCROFT","601","411","189","12","34","1247","1455","75","1530"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","503 - BELVEDERE","706","519","201","28","46","1500","1774","114","1888"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","504 - BRISTOW","552","1128","168","97","45","1990","2925","257","3182"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","505 - GLEN FOREST","732","1129","258","91","61","2271","3229","308","3537"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","506 - HOLMES","161","291","39","36","10","537","843","62","905"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","507 - LINCOLNIA","1051","1134","319","116","58","2678","3633","486","4119"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","508 - MASONVILLE","714","776","192","50","50","1782","2241","137","2378"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","509 - PLAZA","98","572","39","61","23","793","1105","199","1304"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","510 - PARKLAWN","615","866","234","59","42","1816","2417","161","2578"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","511 - RAVENWOOD","589","639","189","36","52","1505","1806","129","1935"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","512 - SLEEPY HOLLOW","1145","1044","385","53","83","2710","3329","200","3529"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","513 - SAINT ALBANS","903","823","301","51","97","2175","2717","154","2871"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","514 - CROSSROADS","233","378","264","49","28","952","1285","143","1428"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","515 - WESTLAWN","448","761","143","43","28","1423","1926","94","2020"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","516 - WEYANOKE","745","1216","264","115","64","2404","3449","397","3846"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","517 - WILLSTON","401","673","111","69","33","1287","1974","280","2254"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","518 - COLUMBIA","688","1029","221","79","35","2052","2948","309","3257"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","520 - SKYLINE","776","720","267","96","68","1927","2817","590","3407"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","521 - BROOK HILL","563","881","204","49","39","1736","2442","211","2653"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","522 - CAMELOT","640","904","247","13","38","1842","2141","129","2270"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","523 - POE","835","995","293","77","61","2261","2939","241","3180"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","525 - WALNUT HILL","1265","1214","304","132","74","2989","3975","364","4339"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","526 - BREN MAR","922","1523","376","150","63","3034","4047","507","4554"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","527 - EDSALL","455","973","181","58","40","1707","2347","156","2503"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","528 - RIDGELEA","178","245","57","10","17","507","591","43","634"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","530 - TRIPPS","423","621","170","55","25","1294","1895","198","2093"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","535 - FORT BUFFALO","600","753","178","81","51","1663","2206","272","2478"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","536 - WOODBURN","1097","1146","371","71","82","2767","3527","212","3739"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","601 - BELLE HAVEN","898","880","268","76","52","2174","2751","214","2965"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","602 - BELLEVIEW","816","749","213","48","70","1896","2247","304","2551"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","604 - BUCKNELL","1152","1285","337","138","88","3000","4201","694","4895"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","605 - FORT HUNT","1077","765","261","27","78","2208","2556","181","2737"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","606 - HOLLIN HALL","1306","805","302","39","75","2527","2914","196","3110"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","607 - HUNTINGTON","1213","1155","499","133","85","3085","4254","698","4952"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","608 - KIRKSIDE","890","618","216","43","43","1810","2169","184","2353"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","609 - MARLAN","974","697","244","31","61","2007","2419","160","2579"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","610 - SHERWOOD","908","619","197","50","39","1813","2401","214","2615"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","611 - STRATFORD","1380","1000","342","23","69","2814","3227","177","3404"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","612 - WAYNEWOOD","513","530","160","21","27","1251","1434","108","1542"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","613 - WESTGATE","1336","1076","385","50","77","2924","3409","259","3668"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","614 - RIVERSIDE","879","661","243","23","44","1850","2195","177","2372"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","615 - WOODLEY","1053","985","327","83","41","2489","3204","331","3535"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","616 - GUNSTON","805","762","228","142","56","1993","2767","648","3415"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","617 - LORTON","1313","1122","258","149","59","2901","4073","492","4565"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","618 - NEWINGTON #1","548","1052","171","46","39","1856","2309","173","2482"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","621 - GROSVENOR","685","923","194","114","66","1982","2767","579","3346"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","622 - LORTON STATION","1141","1250","356","132","67","2946","4027","569","4596"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","623 - ALBAN","771","1134","228","69","37","2239","2975","274","3249"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","627 - WOODLAWN #1","509","725","154","79","34","1501","2159","316","2475"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","628 - LAUREL HILL #1","908","1184","287","56","83","2518","3403","322","3725"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","629 - SOUTH COUNTY","892","738","312","50","45","2037","2493","262","2755"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","630 - ARMY","814","754","248","55","50","1921","2394","205","2599"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","631 - POHICK CREEK","815","603","339","52","46","1855","2417","206","2623"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","632 - HALLEY #1","436","312","114","15","22","899","1110","70","1180"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","633 - HALLEY #2","122","104","36","8","5","275","344","18","362"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","634 - NEWINGTON #2","936","1147","282","75","40","2480","3331","274","3605"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","635 - WOODLAWN #2","587","786","199","152","47","1771","2795","530","3325"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","636 - LAUREL HILL #2","451","524","116","49","24","1164","1665","159","1824"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","701 - BLAKE","1629","1443","471","94","139","3776","4906","537","5443"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","704 - FREEDOM HILL","754","858","292","48","72","2024","2575","199","2774"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","705 - GRAHAM-GREENWAY","1156","1283","318","70","70","2897","3690","245","3935"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","707 - MANTUA","823","815","364","43","54","2099","2513","154","2667"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","708 - MARSHALL","1847","1398","616","114","139","4114","5141","687","5828"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","709 - MOSBY #1","715","844","212","67","49","1887","2621","350","2971"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","710 - PINE SPRING","721","811","240","65","48","1885","2429","226","2655"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","711 - PRICE","646","848","209","42","65","1810","2266","182","2448"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","712 - SHREVE","537","558","173","10","35","1313","1538","87","1625"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","713 - TIMBER LANE","976","1188","313","88","76","2641","3455","289","3744"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","714 - WALKER","1184","1216","395","73","88","2956","3921","266","4187"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","718 - PINE RIDGE","782","782","274","60","47","1945","2604","219","2823"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","720 - THOREAU","1001","1040","410","43","81","2575","3048","181","3229"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","721 - MERRIFIELD","1364","1242","476","136","94","3312","4227","800","5027"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","723 - GALLOWS EAST","684","763","252","81","75","1855","2554","375","2929"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","726 - MAGARITY","1584","1431","473","168","109","3765","5116","550","5666"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","727 - OAKTON","997","799","382","26","60","2264","2658","175","2833"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","729 - NOTTOWAY","1561","861","492","75","131","3120","3793","435","4228"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","731 - TYSONS","846","778","268","148","52","2092","2982","520","3502"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","732 - OAKTREE CROSSING","1517","1141","519","62","97","3336","4021","355","4376"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","733 - KILMER","1468","1399","572","77","130","3646","4629","542","5171"
"2024 November General","11/05/2024 00:00:00","FAIRFAX COUNTY","734 - HUNTERS BRANCH","1362","538","293","95","65","2353","2916","310","3226"
